word,count,percentage
the,122,0.041567291311754684
a,112,0.038160136286201025
ashland,91,0.03100511073253833
developmental,80,0.027257240204429302
willingham,65,0.022146507666098807
and,64,0.02180579216354344
to,57,0.019420783645655876
esb,52,0.017717206132879047
in,45,0.015332197614991482
new,39,0.013287904599659284
on,38,0.012947189097103918
unfavorable,35,0.01192504258943782
administrator,35,0.01192504258943782
additions,34,0.011584327086882453
commissioner,29,0.009880749574105622
levein,28,0.009540034071550256
of,28,0.009540034071550256
negatively,27,0.009199318568994889
azzurri,23,0.007836456558773424
electronics,22,0.007495741056218058
for,22,0.007495741056218058
an,22,0.007495741056218058
be,22,0.007495741056218058
dartmouth,21,0.007155025553662692
european,21,0.007155025553662692
major,21,0.007155025553662692
corrado,20,0.0068143100511073255
said,19,0.006473594548551959
that,19,0.006473594548551959
united,19,0.006473594548551959
us,19,0.006473594548551959
hardcourt,18,0.006132879045996593
recommend,17,0.005792163543441226
deirdre,16,0.00545144804088586
mockery,15,0.005110732538330494
year,15,0.005110732538330494
not,15,0.005110732538330494
was,15,0.005110732538330494
friday,15,0.005110732538330494
ozolinsh,14,0.004770017035775128
u,14,0.004770017035775128
is,14,0.004770017035775128
day,14,0.004770017035775128
saturday,14,0.004770017035775128
its,14,0.004770017035775128
he,14,0.004770017035775128
laxness,13,0.004429301533219762
it,13,0.004429301533219762
first,13,0.004429301533219762
end,13,0.004429301533219762
been,12,0.0040885860306643955
gaza,12,0.0040885860306643955
has,12,0.0040885860306643955
york,12,0.0040885860306643955
regretfully,11,0.003747870528109029
bloom's,11,0.003747870528109029
s,11,0.003747870528109029
law,11,0.003747870528109029
iraq,10,0.0034071550255536627
ago,10,0.0034071550255536627
by,10,0.0034071550255536627
commission,10,0.0034071550255536627
world,10,0.0034071550255536627
yanked,9,0.0030664395229982964
'flat',9,0.0030664395229982964
nomars,9,0.0030664395229982964
birkle,9,0.0030664395229982964
had,9,0.0030664395229982964
time,9,0.0030664395229982964
claimed,8,0.00272572402044293
clearly,8,0.00272572402044293
clemens,8,0.00272572402044293
darold,8,0.00272572402044293
compiled,8,0.00272572402044293
states,8,0.00272572402044293
offensive,8,0.00272572402044293
after,8,0.00272572402044293
his,8,0.00272572402044293
union,8,0.00272572402044293
blow,8,0.00272572402044293
people,8,0.00272572402044293
accuses,7,0.002385008517887564
malky,7,0.002385008517887564
hakim,7,0.002385008517887564
growled,7,0.002385008517887564
unwilling,7,0.002385008517887564
south,7,0.002385008517887564
exuberant,7,0.002385008517887564
catapulted,7,0.002385008517887564
bjorndalen,7,0.002385008517887564
found,7,0.002385008517887564
move,7,0.002385008517887564
city,7,0.002385008517887564
nations,7,0.002385008517887564
agreed,7,0.002385008517887564
israeli,7,0.002385008517887564
soldier,7,0.002385008517887564
deadlocked,6,0.0020442930153321977
ruud,6,0.0020442930153321977
gymnasts,6,0.0020442930153321977
punchlines,6,0.0020442930153321977
amaroneck,6,0.0020442930153321977
lomana,6,0.0020442930153321977
general,6,0.0020442930153321977
embassy,6,0.0020442930153321977
have,6,0.0020442930153321977
join,6,0.0020442930153321977
southern,6,0.0020442930153321977
strip,6,0.0020442930153321977
n,6,0.0020442930153321977
killed,6,0.0020442930153321977
round,6,0.0020442930153321977
since,6,0.0020442930153321977
held,6,0.0020442930153321977
would,6,0.0020442930153321977
search,6,0.0020442930153321977
eleventh,5,0.0017035775127768314
rear,5,0.0017035775127768314
shave,5,0.0017035775127768314
uche,5,0.0017035775127768314
